(27/05/2024|10:54:04) [MARCOS1|08:05:6B:7E:54:00|45.236.144.241] : CNFAccountLogin
(27/05/2024|10:54:34) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|131.221.90.121] : CNFAccountLogin
(27/05/2024|10:54:34) [B7OOCK|D0:94:66:BC:9B:E2|177.83.202.147] : CNFAccountLogin
(27/05/2024|10:54:35) [THALES0404|40:8D:5C:ED:54:CF|177.137.198.142] : CNFAccountLogin
(27/05/2024|10:54:35) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : CNFAccountLogin
(27/05/2024|10:54:39) [PIG2|F4:B5:20:56:7C:C2|177.130.234.149] : CNFAccountLogin
(27/05/2024|10:54:39) [141514|64:49:7D:E3:77:A3|187.73.19.165] : CNFAccountLogin
(27/05/2024|10:54:39) [OLIVEIRASC|2C:8D:B1:3C:6D:B4|131.221.90.121] : CNFAccountLogin
(27/05/2024|10:54:39) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.51] : CNFAccountLogin
(27/05/2024|10:54:40) [CARLOSJR|70:71:BC:98:71:97|45.188.62.177] : CNFAccountLogin
(27/05/2024|10:54:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:54:44) [1415143|64:49:7D:E3:77:A3|187.73.19.165] : CNFAccountLogin
(27/05/2024|10:54:49) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.51] : CNFAccountLogin
(27/05/2024|10:54:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:54:52) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:54:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:54:56) [PEIDO29|0A:E0:AF:A1:14:B9|138.117.88.144] : CNFAccountLogin
(27/05/2024|10:55:01) [PIG1|F4:B5:20:56:7C:C2|177.130.234.149] : CNFAccountLogin
(27/05/2024|10:55:04) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:55:08) [OVIVAZ|3C:7C:3F:7A:43:E2|191.191.161.69] : CNFAccountLogin
(27/05/2024|10:55:16) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:55:16) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:55:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:55:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:55:33) [PEIDODROP|0A:E0:AF:A1:14:B9|138.117.88.144] : CNFAccountLogin
(27/05/2024|10:55:37) [VK100|D8:77:8B:CD:93:F3|177.82.140.34] : CNFAccountLogin
(27/05/2024|10:55:40) [RAFAELBHZ1|5C:CD:5B:11:E1:ED|177.55.228.122] : CNFAccountLogin
(27/05/2024|10:55:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:55:40) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:55:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:56:04) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:56:04) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:56:04) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:56:05) [PEIDOLOJA|0A:E0:AF:A1:14:B9|138.117.88.144] : CNFAccountLogin
(27/05/2024|10:56:16) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:56:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:56:28) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:56:36) [PEIDO30|0A:E0:AF:A1:14:B9|138.117.88.144] : CNFAccountLogin
(27/05/2024|10:56:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:56:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:56:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:56:52) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:57:04) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:57:07) [ODAOFICIAL|D8:77:8B:CD:93:F3|177.82.140.34] : CNFAccountLogin
(27/05/2024|10:57:16) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:57:16) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:57:16) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:57:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:57:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:57:40) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:57:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:57:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:58:07) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:58:07) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:58:16) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:58:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:58:28) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:58:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:58:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:58:44) [DANIELXDX|D0:94:66:BC:9B:E2|177.83.202.147] : CNFAccountLogin
(27/05/2024|10:58:46) [YCOUTINHO|9C:2A:70:8A:82:5A|201.14.93.34] : CNFAccountLogin
(27/05/2024|10:58:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:58:52) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:59:04) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:59:04) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:59:12) [LELEO16|78:45:C4:B3:4E:F3|179.0.119.226] : CNFAccountLogin
(27/05/2024|10:59:13) [RAFAELBHZ2|5C:CD:5B:11:E1:ED|177.55.228.122] : CNFAccountLogin
(27/05/2024|10:59:16) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:59:16) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:59:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:59:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:59:40) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:59:40) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:59:52) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
