(26/05/2024|12:09:49) [DAMASIO2|98:4B:E1:12:0D:95|138.118.91.71] : Falha na composição anct do item
(26/05/2024|12:16:54) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:16:54) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:16:54) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:17:11) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:17:11) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:17:11) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:17:11) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:17:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:17:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:17:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:17:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:17:36) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:17:36) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:17:36) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:17:36) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:17:50) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:17:50) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:17:50) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:17:50) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:18:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:18:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:18:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:18:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:18:15) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:18:15) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:18:15) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:18:15) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:18:40) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:18:40) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:18:40) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:18:40) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:18:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:18:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:18:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:18:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:19:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:19:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:19:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:19:02) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:19:13) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:19:13) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:19:13) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:19:13) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:19:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:19:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:19:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:19:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:19:59) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:19:59) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:19:59) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:19:59) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:20:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:20:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:20:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:20:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:20:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:20:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:20:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:20:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:20:34) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:20:34) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:20:34) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:20:34) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:20:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:20:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:20:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:20:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:21:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:21:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:21:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:21:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:21:19) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:21:19) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:21:19) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:21:19) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:21:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:21:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:21:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:21:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:21:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:21:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:21:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:21:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:21:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(26/05/2024|12:21:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(26/05/2024|12:21:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(26/05/2024|12:21:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Absorção
(26/05/2024|12:22:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(26/05/2024|12:22:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(26/05/2024|12:22:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(26/05/2024|12:22:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Absorção
(26/05/2024|12:22:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(26/05/2024|12:22:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(26/05/2024|12:22:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(26/05/2024|12:22:23) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Absorção
(26/05/2024|12:48:04) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : * Item combine ailyn. *
(26/05/2024|12:48:04) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : Combine Ailyn. Item 1: 1501 - 43,9,60,10,72,30 | Item 2: 1501 - 43,9,60,10,72,30
(26/05/2024|12:48:04) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : Combine Ailyn. Item result: 1501 - 43,9,60,10,72,30
(26/05/2024|12:56:35) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Falha na composição anct do item
