(27/05/2024|10:01:40) [VK100|D8:77:8B:CD:93:F3|177.82.140.34] : Jogador [LAURIEL] Sucesso no anct item: Arco_Divino 2547 2 63 43 7 0 0 chance [12/32]
(27/05/2024|10:11:16) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:11:19) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:19) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:19) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:11:19) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:11:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:11:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:11:33) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:33) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:33) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:11:33) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:12:13) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:12:13) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:12:13) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:12:13) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:12:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:12:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:12:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:12:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:12:18) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:12:18) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:12:18) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:12:18) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:12:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:12:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:12:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:12:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:12:23) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:12:23) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:12:23) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:12:23) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:13:05) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:13:05) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:13:05) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:13:05) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:13:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:13:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:13:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:13:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:13:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:13:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:13:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:13:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:13:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:13:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:13:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:13:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:13:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:13:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:13:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:13:15) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:21:40) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:21:40) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:21:40) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:21:40) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:21:42) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:21:42) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:21:42) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:21:42) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:21:44) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:21:44) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:21:44) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:21:44) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:21:46) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:21:46) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:21:46) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:21:46) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:21:48) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:21:48) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:21:48) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:21:48) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:21:50) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:21:50) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:21:50) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:21:50) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:22:00) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:22:00) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:22:00) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:22:00) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:22:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:22:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:22:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:22:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:26:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:26:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:26:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:26:21) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:26:24) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:26:24) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:26:24) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:26:24) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:26:26) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:26:26) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:26:26) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:26:26) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:26:28) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:26:28) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:26:28) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:26:28) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
