(01/06/2024|13:06:33) [ODAOFICIAL|D8:77:8B:CD:93:F3|177.82.140.34] : Falha na composição anct do item
(01/06/2024|13:42:28) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:28) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:28) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:42:31) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:31) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:31) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:31) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:42:34) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:34) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:34) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:34) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:42:38) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:38) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:38) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:38) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:42:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:42:44) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:44) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:44) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:44) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:42:47) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:47) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:47) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:47) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:42:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:42:54) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:54) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:54) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:54) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:43:39) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:43:39) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:43:39) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:43:39) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:43:43) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:43:43) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:43:43) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:43:43) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:43:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:43:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:43:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:43:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:43:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:43:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:43:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:43:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:43:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:43:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:43:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:43:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:43:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:43:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:43:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:43:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:43:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:43:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:43:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:43:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:44:02) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:44:02) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:44:02) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:44:02) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:46:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:46:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:46:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:46:41) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:46:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:46:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:46:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:46:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:46:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:46:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:46:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:46:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:46:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:46:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:46:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:46:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:46:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:46:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:46:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:46:55) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:46:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:46:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:46:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:46:58) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:47:01) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:47:01) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:47:01) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:47:01) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:47:04) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:47:04) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:47:04) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:47:04) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
