(27/05/2024|21:56:11) [DANIELXDX|D0:94:66:BC:9B:E2|177.83.202.147] : Falha na composição anct do item
(27/05/2024|22:30:09) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:30:09) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:30:09) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:30:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:30:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:30:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:30:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:30:37) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : * Item combine ailyn. *
(27/05/2024|22:30:37) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : Combine Ailyn. Item 1: 2667 - 43,9,60,12,60,8 | Item 2: 2667 - 43,9,60,12,60,12
(27/05/2024|22:30:37) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : Combine Ailyn. Item result: 2667 - 43,9,60,12,60,8
(27/05/2024|22:30:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:30:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:30:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:30:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:30:56) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:30:56) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:30:56) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:30:56) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:31:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:31:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:31:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:31:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:31:25) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:31:25) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:31:25) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:31:25) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:31:35) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:31:35) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:31:35) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:31:35) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:31:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:31:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:31:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:31:47) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia Falhou
(27/05/2024|22:31:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:31:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:31:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:31:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:32:14) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:32:14) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:32:14) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:32:14) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:32:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:32:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:32:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:32:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia Falhou
(27/05/2024|22:32:48) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:32:48) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:32:48) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:32:48) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia Falhou
(27/05/2024|22:32:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:32:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:32:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:32:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:33:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:33:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:33:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:33:10) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia Falhou
(27/05/2024|22:33:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:33:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:33:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:33:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:33:37) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:33:37) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:33:37) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:33:37) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:33:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:33:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:33:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:33:55) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia Falhou
(27/05/2024|22:34:06) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:34:06) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:34:06) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:34:06) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:34:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:34:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:34:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:34:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
