(25/05/2024|14:19:25) [TUMDER|D7:88:53:92:3B:B0|179.221.201.40] : * Item combine ailyn. *
(25/05/2024|14:33:14) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:14) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:14) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:33:16) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:33:16) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:16) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:16) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:33:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:33:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:33:24) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:33:24) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:24) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:24) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:36:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:36:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:36:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:36:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:37:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:37:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:37:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:37:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:37:50) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:37:50) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:37:50) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:37:50) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:37:52) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:37:52) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:37:52) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:37:52) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:37:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:37:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:37:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:37:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:37:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:37:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:37:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:37:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:37:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:37:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:37:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:37:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:38:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:38:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:38:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:38:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:38:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:38:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:38:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:38:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:38:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:38:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:38:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:38:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:39:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:39:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:39:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:39:07) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:07) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:07) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:07) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:39:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:39:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:39:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:39:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:39:58) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:39:58) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:39:58) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:39:58) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:40:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:40:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:40:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:40:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:40:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:40:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:40:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:40:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:40:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:40:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:40:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:40:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:40:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:40:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:40:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:40:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:41:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:41:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:41:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:41:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:41:15) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:15) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:15) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:15) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:41:17) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:17) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:17) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:17) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:41:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:21) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:41:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:41:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:41:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:41:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:43:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:43:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:43:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:43:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:43:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:43:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:43:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:43:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:43:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:43:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:43:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:43:56) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:43:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:43:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:43:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:43:59) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:44:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:44:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:44:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:44:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:44:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
