[03/06/2024][08:09:30]  | -system start log[03/06/2024][08:12:05]  | -system Read 714 ranking entries in 1.18 seconds.
[03/06/2024][12:10:06]  | -system -Write Ranking[03/06/2024][12:10:06]  | -system -Write Ranking[03/06/2024][12:12:38]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:12:38]  | -system -Write Ranking[03/06/2024][12:12:38]  | -system -Write Ranking[03/06/2024][12:15:12]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:15:12]  | -system -Write Ranking[03/06/2024][12:15:12]  | -system -Write Ranking[03/06/2024][12:17:44]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:17:44]  | -system -Write Ranking[03/06/2024][12:17:44]  | -system -Write Ranking[03/06/2024][12:20:16]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:20:16]  | -system -Write Ranking[03/06/2024][12:20:16]  | -system -Write Ranking[03/06/2024][12:22:49]  | -system Read 717 ranking entries in 1.18 seconds.
[03/06/2024][12:22:49]  | -system -Write Ranking[03/06/2024][12:22:49]  | -system -Write Ranking[03/06/2024][12:25:22]  | -system Read 717 ranking entries in 1.18 seconds.
[03/06/2024][12:25:22]  | -system -Write Ranking[03/06/2024][12:25:22]  | -system -Write Ranking[03/06/2024][12:28:04]  | -system Read 717 ranking entries in 1.18 seconds.
[03/06/2024][12:28:04]  | -system -Write Ranking[03/06/2024][12:28:04]  | -system -Write Ranking[03/06/2024][12:30:36]  | -system Read 717 ranking entries in 1.2 seconds.
[03/06/2024][12:30:36]  | -system -Write Ranking[03/06/2024][12:30:36]  | -system -Write Ranking[03/06/2024][12:33:09]  | -system Read 718 ranking entries in 8.19 seconds.
[03/06/2024][12:33:09]  | -system -Write Ranking[03/06/2024][12:33:09]  | -system -Write Ranking[03/06/2024][12:35:40]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][12:35:40]  | -system -Write Ranking[03/06/2024][12:35:40]  | -system -Write Ranking[03/06/2024][12:38:12]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][12:38:12]  | -system -Write Ranking[03/06/2024][12:38:12]  | -system -Write Ranking[03/06/2024][12:40:46]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][12:40:46]  | -system -Write Ranking[03/06/2024][12:40:46]  | -system -Write Ranking[03/06/2024][12:43:19]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][12:43:19]  | -system -Write Ranking[03/06/2024][12:43:19]  | -system -Write Ranking[03/06/2024][12:45:51]  | -system Read 718 ranking entries in 0.47 seconds.
[03/06/2024][12:45:51]  | -system -Write Ranking[03/06/2024][12:45:51]  | -system -Write Ranking[03/06/2024][12:48:23]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][12:48:23]  | -system -Write Ranking[03/06/2024][12:48:23]  | -system -Write Ranking[03/06/2024][12:50:55]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][12:50:55]  | -system -Write Ranking[03/06/2024][12:50:55]  | -system -Write Ranking[03/06/2024][12:53:35]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][12:53:35]  | -system -Write Ranking[03/06/2024][12:53:35]  | -system -Write Ranking[03/06/2024][12:56:07]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][12:56:07]  | -system -Write Ranking[03/06/2024][12:56:07]  | -system -Write Ranking[03/06/2024][12:58:39]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][12:58:39]  | -system -Write Ranking[03/06/2024][12:58:39]  | -system -Write Ranking[03/06/2024][13:01:11]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][13:01:11]  | -system -Write Ranking[03/06/2024][13:01:11]  | -system -Write Ranking[03/06/2024][13:03:43]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][13:03:43]  | -system -Write Ranking[03/06/2024][13:03:43]  | -system -Write Ranking[03/06/2024][13:06:16]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][13:06:16]  | -system -Write Ranking[03/06/2024][13:06:16]  | -system -Write Ranking[03/06/2024][13:08:48]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][13:08:48]  | -system -Write Ranking[03/06/2024][13:08:48]  | -system -Write Ranking[03/06/2024][13:11:20]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:11:20]  | -system -Write Ranking[03/06/2024][13:11:20]  | -system -Write Ranking[03/06/2024][13:13:52]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][13:13:52]  | -system -Write Ranking[03/06/2024][13:13:52]  | -system -Write Ranking[03/06/2024][13:16:26]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:16:26]  | -system -Write Ranking[03/06/2024][13:16:26]  | -system -Write Ranking[03/06/2024][13:18:58]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][13:18:58]  | -system -Write Ranking[03/06/2024][13:18:58]  | -system -Write Ranking[03/06/2024][13:21:30]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:21:30]  | -system -Write Ranking[03/06/2024][13:21:30]  | -system -Write Ranking[03/06/2024][13:24:02]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:24:02]  | -system -Write Ranking[03/06/2024][13:24:02]  | -system -Write Ranking[03/06/2024][13:26:34]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:26:34]  | -system -Write Ranking[03/06/2024][13:26:34]  | -system -Write Ranking[03/06/2024][13:29:08]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:29:08]  | -system -Write Ranking[03/06/2024][13:29:08]  | -system -Write Ranking[03/06/2024][13:31:40]  | -system Read 718 ranking entries in 0.47 seconds.
[03/06/2024][13:31:40]  | -system -Write Ranking[03/06/2024][13:31:40]  | -system -Write Ranking[03/06/2024][13:34:12]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:34:12]  | -system -Write Ranking[03/06/2024][13:34:12]  | -system -Write Ranking[03/06/2024][13:36:44]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:36:44]  | -system -Write Ranking[03/06/2024][13:36:44]  | -system -Write Ranking[03/06/2024][13:39:16]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:39:16]  | -system -Write Ranking[03/06/2024][13:39:16]  | -system -Write Ranking[03/06/2024][13:41:48]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:41:48]  | -system -Write Ranking[03/06/2024][13:41:48]  | -system -Write Ranking[03/06/2024][13:44:20]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][13:44:20]  | -system -Write Ranking[03/06/2024][13:44:20]  | -system -Write Ranking[03/06/2024][13:46:52]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][13:46:52]  | -system -Write Ranking[03/06/2024][13:46:52]  | -system -Write Ranking[03/06/2024][13:47:21]  | -system err,savenquit1 6 -1 1  DAMASIO4[03/06/2024][13:49:24]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:49:24]  | -system -Write Ranking[03/06/2024][13:49:24]  | -system -Write Ranking[03/06/2024][13:51:56]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][13:51:56]  | -system -Write Ranking[03/06/2024][13:51:56]  | -system -Write Ranking[03/06/2024][13:54:29]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][13:54:29]  | -system -Write Ranking[03/06/2024][13:54:29]  | -system -Write Ranking[03/06/2024][13:57:01]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:57:01]  | -system -Write Ranking[03/06/2024][13:57:01]  | -system -Write Ranking[03/06/2024][13:59:33]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][13:59:33]  | -system -Write Ranking[03/06/2024][13:59:33]  | -system -Write Ranking[03/06/2024][14:02:06]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][14:02:06]  | -system -Write Ranking[03/06/2024][14:02:06]  | -system -Write Ranking[03/06/2024][14:04:38]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][14:04:38]  | -system -Write Ranking[03/06/2024][14:04:38]  | -system -Write Ranking[03/06/2024][14:07:18]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][14:07:18]  | -system -Write Ranking[03/06/2024][14:07:18]  | -system -Write Ranking[03/06/2024][14:09:50]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][14:09:50]  | -system -Write Ranking[03/06/2024][14:09:50]  | -system -Write Ranking[03/06/2024][14:12:25]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][14:12:25]  | -system -Write Ranking[03/06/2024][14:12:25]  | -system -Write Ranking[03/06/2024][14:15:01]  | -system Read 718 ranking entries in 63.42 seconds.
[03/06/2024][14:15:01]  | -system -Write Ranking[03/06/2024][14:15:01]  | -system -Write Ranking[03/06/2024][14:17:32]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][14:17:32]  | -system -Write Ranking[03/06/2024][14:17:32]  | -system -Write Ranking[03/06/2024][14:20:04]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][14:20:04]  | -system -Write Ranking[03/06/2024][14:20:04]  | -system -Write Ranking[03/06/2024][14:22:36]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][14:22:36]  | -system -Write Ranking[03/06/2024][14:22:36]  | -system -Write Ranking[03/06/2024][14:25:08]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][14:25:08]  | -system -Write Ranking[03/06/2024][14:25:08]  | -system -Write Ranking[03/06/2024][14:27:40]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][14:27:40]  | -system -Write Ranking[03/06/2024][14:27:40]  | -system -Write Ranking[03/06/2024][14:30:12]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][14:30:12]  | -system -Write Ranking[03/06/2024][14:30:12]  | -system -Write Ranking[03/06/2024][14:32:46]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][14:32:46]  | -system -Write Ranking[03/06/2024][14:32:46]  | -system -Write Ranking[03/06/2024][14:35:18]  | -system Read 718 ranking entries in 1.18 seconds.
[03/06/2024][14:35:18]  | -system -Write Ranking[03/06/2024][14:35:18]  | -system -Write Ranking[03/06/2024][14:37:51]  | -system Read 718 ranking entries in 1.2 seconds.
[03/06/2024][14:37:51]  | -system -Write Ranking[03/06/2024][14:37:51]  | -system -Write Ranking[03/06/2024][14:40:23]  | -system Read 718 ranking entries in 1.33 seconds.
[03/06/2024][14:40:23]  | -system -Write Ranking[03/06/2024][14:40:23]  | -system -Write Ranking[03/06/2024][14:42:55]  | -system Read 718 ranking entries in 1.3 seconds.
[03/06/2024][14:42:55]  | -system -Write Ranking[03/06/2024][14:42:55]  | -system -Write Ranking[03/06/2024][14:45:27]  | -system Read 718 ranking entries in 1.18 seconds.
