[06/06/2024][12:28:15]  | -system start log[06/06/2024][12:30:47]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:45:09]  | -system -Write Ranking[06/06/2024][14:45:09]  | -system -Write Ranking[06/06/2024][14:47:41]  | -system Read 766 ranking entries in 1.3 seconds.
[06/06/2024][14:47:41]  | -system -Write Ranking[06/06/2024][14:47:41]  | -system -Write Ranking[06/06/2024][14:50:13]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:50:13]  | -system -Write Ranking[06/06/2024][14:50:13]  | -system -Write Ranking[06/06/2024][14:52:46]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:52:46]  | -system -Write Ranking[06/06/2024][14:52:46]  | -system -Write Ranking[06/06/2024][14:55:18]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:55:18]  | -system -Write Ranking[06/06/2024][14:55:18]  | -system -Write Ranking[06/06/2024][14:57:50]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][14:57:50]  | -system -Write Ranking[06/06/2024][14:57:50]  | -system -Write Ranking[06/06/2024][15:00:22]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][15:00:22]  | -system -Write Ranking[06/06/2024][15:00:22]  | -system -Write Ranking[06/06/2024][15:02:54]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][15:02:54]  | -system -Write Ranking[06/06/2024][15:02:54]  | -system -Write Ranking[06/06/2024][15:05:26]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][15:05:26]  | -system -Write Ranking[06/06/2024][15:05:26]  | -system -Write Ranking[06/06/2024][15:07:58]  | -system Read 766 ranking entries in 1.2 seconds.
[06/06/2024][15:07:58]  | -system -Write Ranking[06/06/2024][15:07:58]  | -system -Write Ranking[06/06/2024][15:10:33]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][15:10:33]  | -system -Write Ranking[06/06/2024][15:10:33]  | -system -Write Ranking[06/06/2024][15:13:05]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][15:13:05]  | -system -Write Ranking[06/06/2024][15:13:05]  | -system -Write Ranking[06/06/2024][15:15:37]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:15:37]  | -system -Write Ranking[06/06/2024][15:15:37]  | -system -Write Ranking[06/06/2024][15:18:10]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:18:10]  | -system -Write Ranking[06/06/2024][15:18:10]  | -system -Write Ranking[06/06/2024][15:20:42]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:20:42]  | -system -Write Ranking[06/06/2024][15:20:42]  | -system -Write Ranking[06/06/2024][15:23:14]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:23:14]  | -system -Write Ranking[06/06/2024][15:23:14]  | -system -Write Ranking[06/06/2024][15:25:46]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:25:46]  | -system -Write Ranking[06/06/2024][15:25:46]  | -system -Write Ranking[06/06/2024][15:28:18]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:28:18]  | -system -Write Ranking[06/06/2024][15:28:18]  | -system -Write Ranking[06/06/2024][15:30:50]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:30:50]  | -system -Write Ranking[06/06/2024][15:30:50]  | -system -Write Ranking[06/06/2024][15:33:22]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:33:22]  | -system -Write Ranking[06/06/2024][15:33:22]  | -system -Write Ranking[06/06/2024][15:35:54]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:35:54]  | -system -Write Ranking[06/06/2024][15:35:54]  | -system -Write Ranking[06/06/2024][15:38:26]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:38:26]  | -system -Write Ranking[06/06/2024][15:38:26]  | -system -Write Ranking[06/06/2024][15:40:58]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:40:58]  | -system -Write Ranking[06/06/2024][15:40:58]  | -system -Write Ranking[06/06/2024][15:43:31]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:43:31]  | -system -Write Ranking[06/06/2024][15:43:31]  | -system -Write Ranking[06/06/2024][15:46:03]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:46:03]  | -system -Write Ranking[06/06/2024][15:46:03]  | -system -Write Ranking[06/06/2024][15:47:43]  | -system err,savenquit1 37 -1 0  XAXALOCO03[06/06/2024][15:47:43]  | -system err,savenquit1 37 -1 0  XAXALOCO03[06/06/2024][15:47:44]  | -system err,savenquit1 37 -1 0  XAXALOCO03[06/06/2024][15:48:35]  | -system Read 767 ranking entries in 1.3 seconds.
[06/06/2024][15:48:35]  | -system -Write Ranking[06/06/2024][15:48:35]  | -system -Write Ranking[06/06/2024][15:51:07]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][15:51:07]  | -system -Write Ranking[06/06/2024][15:51:07]  | -system -Write Ranking[06/06/2024][15:53:39]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][15:53:39]  | -system -Write Ranking[06/06/2024][15:53:39]  | -system -Write Ranking[06/06/2024][15:56:11]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][15:56:11]  | -system -Write Ranking[06/06/2024][15:56:11]  | -system -Write Ranking[06/06/2024][15:58:43]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][15:58:43]  | -system -Write Ranking[06/06/2024][15:58:43]  | -system -Write Ranking[06/06/2024][16:01:15]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:01:15]  | -system -Write Ranking[06/06/2024][16:01:15]  | -system -Write Ranking[06/06/2024][16:03:47]  | -system Read 767 ranking entries in 1.34 seconds.
[06/06/2024][16:03:47]  | -system -Write Ranking[06/06/2024][16:03:47]  | -system -Write Ranking[06/06/2024][16:06:19]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:06:19]  | -system -Write Ranking[06/06/2024][16:06:19]  | -system -Write Ranking[06/06/2024][16:08:52]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:08:52]  | -system -Write Ranking[06/06/2024][16:08:52]  | -system -Write Ranking[06/06/2024][16:11:24]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:11:24]  | -system -Write Ranking[06/06/2024][16:11:24]  | -system -Write Ranking[06/06/2024][16:13:56]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:13:56]  | -system -Write Ranking[06/06/2024][16:13:56]  | -system -Write Ranking[06/06/2024][16:16:28]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:16:28]  | -system -Write Ranking[06/06/2024][16:16:28]  | -system -Write Ranking[06/06/2024][16:19:00]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:19:00]  | -system -Write Ranking[06/06/2024][16:19:00]  | -system -Write Ranking[06/06/2024][16:21:32]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:21:32]  | -system -Write Ranking[06/06/2024][16:21:32]  | -system -Write Ranking[06/06/2024][16:24:04]  | -system Read 767 ranking entries in 1.18 seconds.
[06/06/2024][16:24:04]  | -system -Write Ranking[06/06/2024][16:24:04]  | -system -Write Ranking[06/06/2024][16:26:36]  | -system Read 767 ranking entries in 1.18 seconds.
[06/06/2024][16:26:36]  | -system -Write Ranking[06/06/2024][16:26:36]  | -system -Write Ranking[06/06/2024][16:29:08]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:29:08]  | -system -Write Ranking[06/06/2024][16:29:08]  | -system -Write Ranking[06/06/2024][16:31:41]  | -system Read 767 ranking entries in 1.33 seconds.
[06/06/2024][16:31:41]  | -system -Write Ranking[06/06/2024][16:31:41]  | -system -Write Ranking[06/06/2024][16:34:13]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:34:13]  | -system -Write Ranking[06/06/2024][16:34:13]  | -system -Write Ranking[06/06/2024][16:36:45]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:36:45]  | -system -Write Ranking[06/06/2024][16:36:45]  | -system -Write Ranking[06/06/2024][16:39:17]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:39:17]  | -system -Write Ranking[06/06/2024][16:39:17]  | -system -Write Ranking[06/06/2024][16:41:49]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:41:49]  | -system -Write Ranking[06/06/2024][16:41:49]  | -system -Write Ranking[06/06/2024][16:44:21]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:44:21]  | -system -Write Ranking[06/06/2024][16:44:21]  | -system -Write Ranking[06/06/2024][16:46:53]  | -system Read 767 ranking entries in 1.2 seconds.
[06/06/2024][16:46:53]  | -system -Write Ranking[06/06/2024][16:46:53]  | -system -Write Ranking[06/06/2024][16:49:25]  | -system Read 768 ranking entries in 1.2 seconds.
[06/06/2024][16:49:25]  | -system -Write Ranking[06/06/2024][16:49:25]  | -system -Write Ranking[06/06/2024][16:51:57]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][16:51:57]  | -system -Write Ranking[06/06/2024][16:51:57]  | -system -Write Ranking[06/06/2024][16:54:29]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][16:54:29]  | -system -Write Ranking[06/06/2024][16:54:29]  | -system -Write Ranking[06/06/2024][16:57:02]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][16:57:02]  | -system -Write Ranking[06/06/2024][16:57:02]  | -system -Write Ranking[06/06/2024][16:59:34]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][16:59:34]  | -system -Write Ranking[06/06/2024][16:59:34]  | -system -Write Ranking[06/06/2024][17:02:06]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:02:06]  | -system -Write Ranking[06/06/2024][17:02:06]  | -system -Write Ranking[06/06/2024][17:04:38]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:04:38]  | -system -Write Ranking[06/06/2024][17:04:38]  | -system -Write Ranking[06/06/2024][17:07:10]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:07:10]  | -system -Write Ranking[06/06/2024][17:07:10]  | -system -Write Ranking[06/06/2024][17:09:42]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:09:42]  | -system -Write Ranking[06/06/2024][17:09:42]  | -system -Write Ranking[06/06/2024][17:12:14]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:12:14]  | -system -Write Ranking[06/06/2024][17:12:14]  | -system -Write Ranking[06/06/2024][17:14:46]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:14:46]  | -system -Write Ranking[06/06/2024][17:14:46]  | -system -Write Ranking[06/06/2024][17:17:18]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:17:18]  | -system -Write Ranking[06/06/2024][17:17:18]  | -system -Write Ranking[06/06/2024][17:19:50]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:19:50]  | -system -Write Ranking[06/06/2024][17:19:50]  | -system -Write Ranking[06/06/2024][17:22:23]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:22:23]  | -system -Write Ranking[06/06/2024][17:22:23]  | -system -Write Ranking[06/06/2024][17:24:55]  | -system Read 768 ranking entries in 1.18 seconds.
[06/06/2024][17:24:55]  | -system -Write Ranking[06/06/2024][17:24:55]  | -system -Write Ranking[06/06/2024][17:27:27]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:27:27]  | -system -Write Ranking[06/06/2024][17:27:27]  | -system -Write Ranking[06/06/2024][17:29:59]  | -system Read 768 ranking entries in 1.3 seconds.
[06/06/2024][17:29:59]  | -system -Write Ranking[06/06/2024][17:29:59]  | -system -Write Ranking[06/06/2024][17:32:31]  | -system Read 768 ranking entries in 1.18 seconds.
[06/06/2024][17:32:31]  | -system -Write Ranking[06/06/2024][17:32:31]  | -system -Write Ranking[06/06/2024][17:35:03]  | -system Read 768 ranking entries in 1.2 seconds.
[06/06/2024][17:35:03]  | -system -Write Ranking[06/06/2024][17:35:03]  | -system -Write Ranking[06/06/2024][17:36:52]  | -system clo server fd 0
