[21/05/2024][21:55:54]  | -system start log[21/05/2024][21:58:26]  | -system Read 340 ranking entries in 0.31 seconds.
[21/05/2024][21:12:31]  | -system -Write Ranking[21/05/2024][21:12:31]  | -system -Write Ranking[21/05/2024][21:15:03]  | -system Read 351 ranking entries in 0.32 seconds.
[21/05/2024][21:15:03]  | -system -Write Ranking[21/05/2024][21:15:03]  | -system -Write Ranking[21/05/2024][21:17:35]  | -system Read 351 ranking entries in 0.32 seconds.
[21/05/2024][21:17:35]  | -system -Write Ranking[21/05/2024][21:17:35]  | -system -Write Ranking[21/05/2024][21:20:07]  | -system Read 352 ranking entries in 0.32 seconds.
[21/05/2024][21:20:07]  | -system -Write Ranking[21/05/2024][21:20:07]  | -system -Write Ranking[21/05/2024][23:25:36]  | -system Read 352 ranking entries in 0.32 seconds.
[21/05/2024][23:25:36]  | -system -Write Ranking[21/05/2024][23:25:36]  | -system -Write Ranking[21/05/2024][23:28:09]  | -system Read 352 ranking entries in 0.32 seconds.
[21/05/2024][23:28:09]  | -system -Write Ranking[21/05/2024][23:28:09]  | -system -Write Ranking[21/05/2024][23:30:42]  | -system Read 352 ranking entries in 0.32 seconds.
[21/05/2024][23:30:42]  | -system -Write Ranking[21/05/2024][23:30:42]  | -system -Write Ranking[21/05/2024][23:33:16]  | -system Read 352 ranking entries in 0.32 seconds.
[21/05/2024][23:33:16]  | -system -Write Ranking[21/05/2024][23:33:16]  | -system -Write Ranking[21/05/2024][23:35:48]  | -system Read 352 ranking entries in 0.32 seconds.
[21/05/2024][23:35:48]  | -system -Write Ranking[21/05/2024][23:35:48]  | -system -Write Ranking[21/05/2024][23:38:20]  | -system Read 352 ranking entries in 0.31 seconds.
[21/05/2024][23:38:20]  | -system -Write Ranking[21/05/2024][23:38:20]  | -system -Write Ranking[21/05/2024][23:40:52]  | -system Read 352 ranking entries in 0.31 seconds.
[21/05/2024][23:40:52]  | -system -Write Ranking[21/05/2024][23:40:52]  | -system -Write Ranking[21/05/2024][23:43:25]  | -system Read 353 ranking entries in 0.31 seconds.
[21/05/2024][23:43:25]  | -system -Write Ranking[21/05/2024][23:43:25]  | -system -Write Ranking[21/05/2024][23:45:57]  | -system Read 353 ranking entries in 0.31 seconds.
[21/05/2024][23:45:57]  | -system -Write Ranking[21/05/2024][23:45:57]  | -system -Write Ranking[21/05/2024][23:48:29]  | -system Read 353 ranking entries in 0.31 seconds.
[21/05/2024][23:48:29]  | -system -Write Ranking[21/05/2024][23:48:29]  | -system -Write Ranking[21/05/2024][23:51:01]  | -system Read 353 ranking entries in 0.47 seconds.
[21/05/2024][23:51:01]  | -system -Write Ranking[21/05/2024][23:51:01]  | -system -Write Ranking[21/05/2024][23:53:33]  | -system Read 353 ranking entries in 0.31 seconds.
[21/05/2024][23:53:33]  | -system -Write Ranking[21/05/2024][23:53:33]  | -system -Write Ranking[21/05/2024][23:56:06]  | -system Read 353 ranking entries in 0.31 seconds.
[21/05/2024][23:56:06]  | -system -Write Ranking[21/05/2024][23:56:06]  | -system -Write Ranking[21/05/2024][23:58:38]  | -system Read 353 ranking entries in 0.47 seconds.
[21/05/2024][23:58:38]  | -system -Write Ranking[21/05/2024][23:58:38]  | -system -Write Ranking
