(04/06/2024|06:12:59) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.150] : deleteitem, 1349.2,10,71,30,60,4
(04/06/2024|06:33:01) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 855.43,1,60,4,59,0
(04/06/2024|06:34:05) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : useitem,refine fail 3582+5 - (43,60,0)
(04/06/2024|06:34:09) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:34:38) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:34:51) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:36:12) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:36:19) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 1354.43,1,73,6,60,2
(04/06/2024|06:36:50) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 1351.5,2,72,15,59,0
(04/06/2024|06:37:08) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 1351.43,0,72,10,59,0
(04/06/2024|06:37:14) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:37:24) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:37:50) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:38:00) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:38:20) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 902.43,0,74,12,59,0
(04/06/2024|06:46:20) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 659.0,0,0,0,0,0
(04/06/2024|06:46:39) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:46:44) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:46:50) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:46:54) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:47:00) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:47:08) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.43,0,60,4,59,0
(04/06/2024|06:47:30) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1749.0,0,0,0,0,0
(04/06/2024|06:47:33) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 900.43,1,59,0,60,12
(04/06/2024|06:47:35) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:47:42) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:47:50) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:47:55) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:48:02) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.43,0,59,0,59,0
(04/06/2024|06:48:06) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:48:13) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:48:17) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:48:22) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:48:27) [FRAJOLA01|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.43,1,60,8,59,0
(04/06/2024|06:48:37) [FRAJOLA|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:49:38) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:49:47) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.43,2,74,9,60,4
(04/06/2024|06:49:54) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.2,6,74,9,59,0
(04/06/2024|06:49:58) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:02) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.43,0,59,0,74,12
(04/06/2024|06:50:06) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:12) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:17) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:22) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:29) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.43,0,74,12,60,8
(04/06/2024|06:50:37) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:41) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:47) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:51) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:50:55) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:00) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:03) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:07) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:12) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:15) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:18) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 825.43,0,26,15,59,0
(04/06/2024|06:51:19) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:24) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:31) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:34) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 825.43,0,59,0,59,0
(04/06/2024|06:51:36) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:41) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:43) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:46) [FRAJOLA02|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 855.43,1,59,0,60,8
(04/06/2024|06:51:46) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:50) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:50) [VINICIUS93|00:05:16:62:AE:51|177.155.70.152] : deleteitem, 910.10,15,2,9,2,9
(04/06/2024|06:51:52) [VINICIUS93|00:05:16:62:AE:51|177.155.70.152] : deleteitem, 839.43,0,2,9,74,12
(04/06/2024|06:51:53) [VINICIUS93|00:05:16:62:AE:51|177.155.70.152] : deleteitem, 839.43,1,74,6,2,9
(04/06/2024|06:51:54) [VINICIUS93|00:05:16:62:AE:51|177.155.70.152] : deleteitem, 901.10,5,60,8,59,0
(04/06/2024|06:51:55) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:51:58) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:00) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 825.43,1,26,12,26,12
(04/06/2024|06:52:04) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:07) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:09) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1349.43,0,71,20,3,5
(04/06/2024|06:52:11) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:14) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:19) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:19) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:23) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:23) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:27) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:31) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:33) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:37) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:41) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:44) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:51) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:52:55) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:00) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:04) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:09) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:21) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:34) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:42) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:48) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:53) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:53:57) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:54:00) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:54:05) [FRAJOLA03|24:F5:AA:4E:97:0A|201.43.99.81] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:57:09) [XAXALOCO|EC:F4:BB:F9:2C:0C|170.239.4.158] : useitem,refine success 3551+8 - (43,2,0)
(04/06/2024|06:58:45) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 900.5,3,60,12,59,0
(04/06/2024|06:59:30) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 659.0,0,0,0,0,0
