(24/05/2024|00:00:07) [GRATIDAO12|D4:D2:D6:54:19:A3|192.141.82.237] : MobName:BM-Odin dropou o item: Poeira_de_Lactolerium:413 59.236.59.18.59.64 do mob:Morlock
(24/05/2024|00:01:54) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:02:01) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:02:18) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:02:21) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:02:25) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:02:28) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:02:34) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:02:36) [ADEILDO04|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:BMZAO dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:02:47) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:02:49) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:02:54) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:03:00) [ADEILDO04|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:BMZAO dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:03:13) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:03:25) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:03:27) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:03:54) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:04:01) [BLAKBIEL|10:63:C8:B0:BA:E1|45.186.41.240] : MobName:Zadnitsa dropou o item: Poeira_de_Lactolerium:413 59.161.59.6.59.157 do mob:Tauron
(24/05/2024|00:04:01) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Poeira_de_Lactolerium:413 59.85.59.201.59.194 do mob:Demonio do Vale
(24/05/2024|00:04:01) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:04:11) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:04:11) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:04:26) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:04:28) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:04:36) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:04:42) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:04:48) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:04:58) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Poeira_de_Lactolerium:413 59.67.59.223.59.100 do mob:Cria de Aranha
(24/05/2024|00:05:00) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:05:00) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:05:05) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:05:06) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:05:11) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:05:12) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Poeira_de_Oriharucon:412 59.79.59.178.59.244 do mob:MorlockAmald
(24/05/2024|00:05:14) [JEFFE90|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:BLACKZONA dropou o item: Poeira_de_Oriharucon:412 59.98.59.176.59.131 do mob:MorlockAmald
(24/05/2024|00:05:17) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:05:24) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:05:27) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:05:28) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:05:31) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:05:40) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:05:49) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:05:51) [JEFFE90|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:BLACKZONA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:06:00) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:06:01) [ADEILDO04|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:BMZAO dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:06:07) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:06:12) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo1 dropou o item: Poeira_de_Lactolerium:413 59.197.59.111.59.173 do mob:Cria de Aranha
(24/05/2024|00:06:14) [JEFFE90|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:BLACKZONA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:06:28) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:06:45) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:06:57) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:07:00) [ADEILDO04|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:BMZAO dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:07:08) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:07:12) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:07:15) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:07:15) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:07:15) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:07:16) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Poeira_de_Lactolerium:413 59.211.59.171.59.108 do mob:Cria de Aranha
(24/05/2024|00:07:24) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:07:27) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:07:27) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:07:35) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Poeira_de_Lactolerium:413 59.9.59.145.59.175 do mob:Demonio do Vale
(24/05/2024|00:07:48) [KATATUMBA|20:89:84:07:DE:50|45.191.23.254] : MobName:Katatumba dropou o item: Poeira_de_Oriharucon:412 59.59.59.239.59.168 do mob:Aranha Inferno
(24/05/2024|00:07:49) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:07:50) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:07:59) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:07:59) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:07:59) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:08:00) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:08:25) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo1 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:08:29) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Poeira_de_Oriharucon:412 59.80.59.142.59.239 do mob:MorlockAmald
(24/05/2024|00:08:32) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:08:39) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:08:48) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:09:13) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:09:24) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:09:29) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:09:39) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:09:51) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:09:52) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:09:53) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Poeira_de_Lactolerium:413 59.12.59.62.59.69 do mob:Cria de Aranha
(24/05/2024|00:09:57) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:09:59) [PENNY|10:78:D2:BA:C8:24|179.125.1.76] : MobName:Penny dropou o item: Poeira_de_Lactolerium:413 59.59.59.56.59.100 do mob:Tauron
(24/05/2024|00:10:01) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:10:27) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:10:32) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Poeira_de_Oriharucon:412 59.15.59.0.59.143 do mob:MorlockAmald
(24/05/2024|00:10:35) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:10:37) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:10:50) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:10:51) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:10:52) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:10:52) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:10:53) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:11:01) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Poeira_de_Oriharucon:412 59.1.59.12.59.147 do mob:MorlockAmald
(24/05/2024|00:11:03) [JEFFE94|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Paladinno dropou o item: Poeira_de_Lactolerium:413 59.41.59.107.59.8 do mob:Tauron
(24/05/2024|00:11:03) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:11:06) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:11:08) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:11:17) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:11:25) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:11:27) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:11:29) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Poeira_de_Lactolerium:413 59.170.59.96.59.59 do mob:Cria de Aranha
(24/05/2024|00:11:36) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:11:36) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:11:38) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:11:40) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:11:48) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:11:53) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:12:03) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:12:05) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:12:10) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:12:23) [PENNY|10:78:D2:BA:C8:24|179.125.1.76] : MobName:Penny dropou o item: Poeira_de_Lactolerium:413 59.105.59.42.59.117 do mob:Tauron
(24/05/2024|00:12:24) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:12:28) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:12:31) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:12:31) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:12:41) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Poeira_de_Lactolerium:413 59.125.59.110.59.159 do mob:Demonio do Vale
(24/05/2024|00:12:52) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Poeira_de_Oriharucon:412 59.186.59.68.59.131 do mob:Cria de Aranha
(24/05/2024|00:12:56) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:13:05) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:13:08) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:13:10) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:13:14) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:13:19) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:13:25) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
