(21/05/2024|01:00:06) [MONOB3|A8:A7:95:DB:FD:92|187.19.188.243] : MobName:ErroR403 dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:01:16) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:01:29) [DORITUS01|22:18:4D:06:14:ED|177.149.131.127] : MobName:DODO dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(21/05/2024|01:01:33) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:01:53) [SCHELMACH|AF:7A:59:4F:54:F0|186.209.200.240] : MobName:Doblew dropou o item: Poeira_de_Lactolerium:413 59.170.59.73.59.138 do mob:Tauron
(21/05/2024|01:01:55) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:02:06) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:02:11) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:02:16) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:02:17) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:02:22) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:02:26) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Poeira_de_Oriharucon:412 59.25.59.48.59.122 do mob:GargulaAmald
(21/05/2024|01:02:35) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:02:53) [DORITUS01|22:18:4D:06:14:ED|177.149.131.127] : MobName:DODO dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(21/05/2024|01:02:57) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:03:05) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:03:07) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:03:43) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:03:47) [VINICIUS93|00:05:16:62:AE:51|177.137.250.254] : MobName:Vinicius93 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:03:54) [LELEO17|04:7C:16:11:36:0A|138.255.58.218] : MobName:Bjorn dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(21/05/2024|01:04:22) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:04:22) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:04:30) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:04:47) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:05:06) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Poeira_de_Oriharucon:412 59.160.59.2.59.26 do mob:MorlockAmald
(21/05/2024|01:05:15) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:05:28) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:05:44) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:05:54) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:05:54) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:05:54) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:06:06) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:06:18) [LELEO17|04:7C:16:11:36:0A|138.255.58.218] : MobName:Bjorn dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Demonio do Vale
(21/05/2024|01:06:18) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Poeira_de_Oriharucon:412 59.131.59.147.59.64 do mob:MorlockAmald
(21/05/2024|01:06:31) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:06:42) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:06:42) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:06:54) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:06:57) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:06:59) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:07:07) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:07:09) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:07:29) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:07:35) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:07:57) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:08:10) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Poeira_de_Lactolerium:413 59.128.59.190.59.116 do mob:Morlock
(21/05/2024|01:08:10) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:08:17) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:08:32) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:08:34) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:08:50) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:09:05) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:09:05) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:09:06) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Poeira_de_Oriharucon:412 59.240.59.98.59.56 do mob:MorlockAmald
(21/05/2024|01:09:07) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:09:07) [WELXXD1|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Zadkiel dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:09:10) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:09:18) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:09:20) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:09:21) [DORITUS01|22:18:4D:06:14:ED|177.149.131.127] : MobName:DODO dropou o item: Poeira_de_Oriharucon:412 59.132.59.88.59.66 do mob:Cria de Aranha
(21/05/2024|01:09:32) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:09:44) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:09:45) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:09:50) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:09:54) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:09:56) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:10:06) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:10:06) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:10:20) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:10:22) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:10:29) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:10:29) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:10:41) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Poeira_de_Oriharucon:412 59.199.59.191.59.130 do mob:MorlockAmald
(21/05/2024|01:10:46) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:11:08) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:11:11) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:11:11) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:11:16) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Poeira_de_Oriharucon:412 59.85.59.208.59.248 do mob:MorlockAmald
(21/05/2024|01:11:40) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Poeira_de_Oriharucon:412 59.49.59.17.59.103 do mob:MorlockAmald
(21/05/2024|01:11:41) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:11:41) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:11:42) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:11:44) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:11:52) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:11:55) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:11:56) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:12:05) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:12:23) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:12:31) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:12:41) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:12:41) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:12:42) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:12:50) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:12:54) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:13:03) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:13:07) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:13:07) [LELEO17|04:7C:16:11:36:0A|138.255.58.218] : MobName:Bjorn dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(21/05/2024|01:13:07) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:13:23) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:13:29) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:13:44) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:13:44) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:13:47) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:13:52) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:13:54) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:13:56) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:13:56) [WELXXD1|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Zadkiel dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:14:00) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:14:07) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:14:07) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:14:29) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:14:33) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Poeira_de_Lactolerium:413 59.252.59.226.59.0 do mob:AranhaAmald
(21/05/2024|01:14:42) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:14:43) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:14:44) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:14:55) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:14:56) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:15:05) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Poeira_de_Lactolerium:413 59.218.59.116.59.55 do mob:GargulaAmald
(21/05/2024|01:15:10) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:15:19) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:15:20) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:15:41) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:15:42) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:15:43) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:15:44) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
